order_delivered_customer_date,order_approved_at,order_estimated_delivery_date,order_status
"2018-01-20 14:42:22","2017-11-26 18:58:34","2017-12-19 01:00:00",delivered
"2017-09-30 18:55:39","2017-09-29 11:44:12","2017-10-17 02:00:00",delivered
"2017-06-29 12:16:35","2017-06-28 01:35:09","2017-07-10 02:00:00",delivered
"2018-02-07 15:59:03","2018-01-23 11:59:10","2018-02-21 01:00:00",delivered
"2018-08-28 15:43:41","2018-08-20 20:35:26","2018-09-13 02:00:00",delivered
"2018-02-20 16:25:04","2018-01-30 09:13:43","2018-02-21 01:00:00",delivered
"2018-04-07 02:06:33","2018-04-03 07:10:21","2018-05-04 02:00:00",delivered
"2018-03-19 19:46:32","2018-03-09 04:00:35","2018-03-29 02:00:00",delivered
"2018-05-14 20:55:59","2018-05-09 00:31:43","2018-05-23 02:00:00",delivered
"2017-04-27 13:08:55","2017-03-30 16:55:17","2017-05-12 02:00:00",delivered
"2017-12-01 22:11:40","2017-11-25 02:31:43","2017-12-15 01:00:00",delivered
"2018-04-27 18:50:03","2018-04-26 00:31:56","2018-05-14 02:00:00",delivered
"2017-07-21 21:59:36","2017-07-16 12:35:14","2017-08-04 02:00:00",delivered
"2017-11-28 21:33:38","2017-11-21 13:40:55","2017-12-14 01:00:00",delivered
"2017-10-24 17:57:46","2017-10-19 17:35:35","2017-10-31 01:00:00",delivered
"2018-08-02 23:08:57","2018-07-23 14:32:22","2018-08-13 02:00:00",delivered
"2017-12-11 17:17:04","2017-12-02 15:38:30","2018-01-04 01:00:00",delivered
"2018-03-29 22:08:43","2018-03-26 11:28:24","2018-04-20 02:00:00",delivered
"2018-01-15 15:56:58","2018-01-09 08:27:15","2018-02-06 01:00:00",delivered
"2018-02-14 20:07:41","2018-02-07 03:35:40","2018-03-08 01:00:00",delivered
"2018-07-26 20:26:37","2018-07-18 15:50:14","2018-07-30 02:00:00",delivered
"2017-03-31 12:07:25","2017-03-28 18:15:15","2017-04-17 02:00:00",delivered
"2018-06-15 22:58:47","2018-06-08 14:37:01","2018-07-05 02:00:00",delivered
"2017-07-17 19:03:47","2017-07-12 04:10:59","2017-07-28 02:00:00",delivered
"2018-05-24 21:04:00","2018-05-18 06:54:31","2018-06-04 02:00:00",delivered
"2018-07-11 23:16:47","2018-07-05 20:55:15","2018-07-19 02:00:00",delivered
"2017-09-28 21:47:42","2017-09-21 16:44:35","2017-10-18 02:00:00",delivered
"2018-03-22 01:03:53","2018-02-22 17:10:41","2018-03-16 01:00:00",delivered
"2018-01-25 00:16:49","2018-01-11 03:48:39","2018-01-31 01:00:00",delivered
"2017-05-12 16:04:02","2017-04-27 19:22:58","2017-05-29 02:00:00",delivered
"2017-12-08 16:41:46","2017-11-27 20:39:02","2017-12-27 01:00:00",delivered
"2018-05-15 20:38:39","2018-05-12 05:32:26","2018-05-21 02:00:00",delivered
"2018-05-30 17:06:44","2018-05-25 11:16:24","2018-06-12 02:00:00",delivered
"2017-12-11 20:03:18","2017-11-28 10:35:11","2017-12-19 01:00:00",delivered
"2017-12-05 21:23:33","2017-11-22 03:49:29","2017-12-20 01:00:00",delivered
"2018-08-01 21:31:47","2018-07-24 12:32:48","2018-08-10 02:00:00",delivered
"2018-03-09 22:52:36","2018-02-14 14:15:38","2018-03-09 01:00:00",delivered
"2017-05-12 14:04:38","2017-05-01 00:55:09","2017-06-05 02:00:00",delivered
"2017-05-23 14:51:55","2017-05-16 05:35:16","2017-06-08 02:00:00",delivered
"2017-07-31 20:17:45","2017-07-22 21:25:18","2017-08-11 02:00:00",delivered
"2018-06-28 15:03:08","2018-06-24 21:20:23","2018-07-27 02:00:00",delivered
"2018-07-06 13:52:07","2018-07-02 15:10:15","2018-07-25 02:00:00",delivered
"2017-03-20 10:28:56","2017-03-06 01:33:11","2017-04-11 02:00:00",delivered
"2017-10-20 18:18:59","2017-10-05 01:14:17","2017-11-09 01:00:00",delivered
"2018-01-04 22:56:01","2017-12-21 18:56:24","2018-01-22 01:00:00",delivered
"2018-02-20 19:09:29","2018-02-02 17:36:26","2018-03-07 01:00:00",delivered
"2018-06-05 19:44:39","2018-06-02 05:15:28","2018-07-04 02:00:00",delivered
"2018-08-14 21:12:05","2018-08-09 19:30:25","2018-08-21 02:00:00",delivered
"2017-12-06 02:12:12","2017-11-15 14:55:31","2017-12-14 01:00:00",delivered
"2018-05-03 04:52:58","2018-04-26 14:11:18","2018-05-07 02:00:00",delivered
"2018-07-24 01:56:47","2018-07-16 14:30:53","2018-08-13 02:00:00",delivered
"2018-06-19 01:07:33","2018-05-31 00:55:45","2018-07-16 02:00:00",delivered
"2017-12-13 10:44:38","2017-12-02 15:17:20","2017-12-27 01:00:00",delivered
"2018-04-07 00:52:39","2018-03-29 16:35:21","2018-04-11 02:00:00",delivered
"2018-06-27 19:18:42","2018-06-25 17:58:17","2018-07-11 02:00:00",delivered
"2017-09-16 18:12:24","2017-09-11 10:10:08","2017-09-27 02:00:00",delivered
"2018-04-21 01:12:11","2018-04-15 21:55:20","2018-04-26 02:00:00",delivered
"2018-01-23 19:22:46","2018-01-13 09:29:22","2018-02-15 01:00:00",delivered
"2018-04-17 01:35:26","2018-04-04 10:50:15","2018-05-02 02:00:00",delivered
"2017-10-09 20:32:42","2017-09-27 05:35:03","2017-10-20 02:00:00",delivered
"2018-03-22 11:18:36","2018-03-02 03:10:55","2018-04-02 02:00:00",delivered
"2017-04-28 16:37:16","2017-04-22 21:41:06","2017-05-15 02:00:00",delivered
"2017-09-21 23:16:17","2017-09-13 15:45:43","2017-09-25 02:00:00",delivered
"2018-01-20 18:56:44","2018-01-18 10:38:30","2018-02-02 01:00:00",delivered
"2017-04-03 15:37:42","2017-03-14 17:25:43","2017-04-10 02:00:00",delivered
"2018-01-09 16:44:20","2017-12-21 03:11:52","2018-01-19 01:00:00",delivered
"2017-12-11 19:52:10","2017-12-04 19:30:29","2018-01-04 01:00:00",delivered
"2018-08-14 20:16:42","2018-08-04 00:35:17","2018-08-23 02:00:00",delivered
"2018-04-08 18:22:04","2018-04-03 07:48:50","2018-04-20 02:00:00",delivered
"2017-05-30 11:12:44","2017-05-18 23:10:16","2017-06-12 02:00:00",delivered
"2017-06-26 15:49:52","2017-06-16 02:35:26","2017-07-18 02:00:00",delivered
"2017-07-17 19:23:48","2017-07-07 04:50:37","2017-08-07 02:00:00",delivered
"2018-08-06 19:20:53","2018-07-27 15:04:20","2018-08-17 02:00:00",delivered
"2017-07-17 22:39:33","2017-07-08 16:25:09","2017-08-03 02:00:00",delivered
"2018-03-20 17:13:27","2018-03-15 18:15:42","2018-04-02 02:00:00",delivered
"2017-07-04 12:51:55","2017-06-25 21:45:10","2017-07-14 02:00:00",delivered
"2018-03-09 14:46:21","2018-02-28 22:48:27","2018-03-13 01:00:00",delivered
"2018-04-24 22:38:55","2018-04-17 00:10:15","2018-05-15 02:00:00",delivered
"2018-06-07 15:58:42","2018-05-16 10:36:57","2018-06-06 02:00:00",delivered
"2018-07-24 22:16:30","2018-07-13 18:04:02","2018-08-09 02:00:00",delivered
"2017-08-05 14:14:47","2017-08-03 05:04:48","2017-08-21 02:00:00",delivered
"2018-07-26 01:58:19","2018-07-27 01:31:53","2018-07-31 02:00:00",delivered
"2017-03-16 09:24:47","2017-03-09 23:17:49","2017-03-28 02:00:00",delivered
"2018-01-04 22:23:53","2017-12-09 18:37:27","2018-02-01 01:00:00",delivered
"2018-08-07 15:59:38","2018-08-02 12:45:12","2018-08-10 02:00:00",delivered
"2018-04-16 22:58:47","2018-04-11 07:50:45","2018-05-03 02:00:00",delivered
"2018-02-19 16:07:08","2018-02-10 20:35:32","2018-02-26 01:00:00",delivered
"2017-05-15 14:00:17","2017-04-27 13:22:56","2017-06-16 02:00:00",delivered
"2017-12-13 19:03:38","2017-12-08 03:54:25","2017-12-27 01:00:00",delivered
"2017-12-08 21:56:54","2017-12-01 11:31:12","2017-12-26 01:00:00",delivered
"2017-06-16 16:04:09","2017-06-07 21:42:11","2017-06-28 02:00:00",delivered
"2017-09-22 18:43:37","2017-09-12 18:45:08","2017-10-04 02:00:00",delivered
"2018-07-24 21:26:42","2018-07-23 14:31:53","2018-07-31 02:00:00",delivered
"2018-06-08 20:58:53","2018-06-03 20:49:57","2018-07-11 02:00:00",delivered
"2018-06-06 16:06:48","2018-05-23 18:56:50","2018-06-08 02:00:00",delivered
"2018-02-23 21:59:12","2018-02-03 12:10:37","2018-03-13 01:00:00",delivered
"2018-06-02 01:27:31","2018-05-17 10:59:32","2018-06-04 02:00:00",delivered
"2018-08-21 01:38:44","2018-08-10 15:55:18","2018-08-30 02:00:00",delivered
"2018-04-26 22:11:48","2018-04-18 22:32:54","2018-05-11 02:00:00",delivered
"2017-10-13 23:13:13","2017-09-27 16:56:18","2017-10-27 02:00:00",delivered
"2018-02-18 15:28:47","2018-02-06 18:32:25","2018-03-06 01:00:00",delivered
"2017-11-29 01:44:50","2017-11-17 15:25:26","2017-12-06 01:00:00",delivered
"2018-02-14 19:04:45","2018-02-01 14:35:14","2018-02-26 01:00:00",delivered
"2018-01-22 22:18:33","2018-01-12 03:38:34","2018-02-07 01:00:00",delivered
"2017-06-12 19:45:34","2017-06-04 12:22:32","2017-06-26 02:00:00",delivered
"2018-04-13 22:03:50","2018-03-29 18:35:38","2018-04-19 02:00:00",delivered
"2017-07-27 20:41:46","2017-07-18 00:10:20","2017-08-08 02:00:00",delivered
"2018-05-18 00:05:03","2018-05-10 13:36:29","2018-05-28 02:00:00",delivered
"2018-08-15 17:02:09","2018-08-08 23:25:20","2018-08-15 02:00:00",delivered
"2018-05-03 23:54:44","2018-04-19 04:51:01","2018-05-09 02:00:00",delivered
"2017-05-02 17:45:27","2017-04-22 16:01:13","2017-05-11 02:00:00",delivered
"2017-12-18 17:53:32","2017-12-11 22:55:32","2018-01-04 01:00:00",delivered
"2018-05-16 22:37:03","2018-05-04 12:51:52","2018-05-23 02:00:00",delivered
"2017-12-27 14:47:01","2017-12-17 21:50:00","2018-01-24 01:00:00",delivered
"2018-01-03 23:54:29","2017-12-22 05:51:23","2018-01-19 01:00:00",delivered
"2018-03-05 21:53:02","2018-02-27 11:15:33","2018-03-22 01:00:00",delivered
"2018-03-29 15:49:10","2018-03-18 22:10:32","2018-04-24 02:00:00",delivered
"2017-01-17 16:52:28","2017-01-07 04:45:40","2017-02-13 01:00:00",delivered
"2017-12-18 21:24:54","2017-11-28 04:48:24","2017-12-19 01:00:00",delivered
"2018-01-03 22:12:08","2017-12-24 18:48:13","2018-01-19 01:00:00",delivered
"2018-04-05 21:34:29","2018-03-29 17:29:55","2018-04-11 02:00:00",delivered
"2017-12-12 23:32:47","2017-11-29 20:16:55","2017-12-26 01:00:00",delivered
"2018-04-14 01:45:22","2018-04-05 04:27:56","2018-05-03 02:00:00",delivered
"2017-05-03 13:43:59","2017-04-20 18:30:11","2017-05-10 02:00:00",delivered
"2018-02-08 19:38:55","2018-01-27 03:45:33","2018-02-21 01:00:00",delivered
"2018-05-09 17:15:10","2018-05-08 16:55:47","2018-05-16 02:00:00",delivered
"2018-06-26 19:08:45","2018-06-18 14:37:24","2018-07-12 02:00:00",delivered
"2017-07-11 22:22:31","2017-07-02 23:03:55","2017-07-25 02:00:00",delivered
"2018-01-30 15:36:52","2018-01-24 01:16:30","2018-02-19 01:00:00",delivered
"2018-01-23 00:23:25","2018-01-17 04:34:29","2018-02-06 01:00:00",delivered
"2018-02-28 22:09:14","2018-02-23 08:08:17","2018-03-08 01:00:00",delivered
"2018-04-19 20:03:46","2018-03-31 01:26:57","2018-04-27 02:00:00",delivered
"2017-03-01 15:09:10","2017-02-12 20:02:52","2017-03-16 01:00:00",delivered
"2018-04-23 17:49:34","2018-02-01 09:10:31","2018-03-05 01:00:00",delivered
"2018-06-15 16:28:27","2018-06-06 16:35:26","2018-07-12 02:00:00",delivered
"2017-11-27 21:41:48","2017-11-17 14:35:40","2017-12-12 01:00:00",delivered
"2018-02-05 20:38:56","2018-01-30 18:57:55","2018-02-21 01:00:00",delivered
"2018-03-13 19:56:39","2018-03-07 13:29:55","2018-03-21 01:00:00",delivered
"2018-01-17 16:44:12","2018-01-10 11:31:35","2018-02-08 01:00:00",delivered
"2017-02-20 19:14:01","2017-02-10 03:55:28","2017-03-17 01:00:00",delivered
"2018-07-04 23:48:36","2018-07-01 00:10:13","2018-07-24 02:00:00",delivered
"2018-08-16 21:18:51","2018-08-08 13:05:15","2018-08-17 02:00:00",delivered
"2017-10-09 20:32:38","2017-10-05 08:21:20","2017-10-30 01:00:00",delivered
"2018-04-28 01:17:26","2018-04-10 17:11:08","2018-05-11 02:00:00",delivered
"2018-02-19 14:28:50","2018-02-08 20:32:18","2018-02-22 01:00:00",delivered
"2018-07-23 20:09:27","2018-07-12 22:35:10","2018-07-27 02:00:00",delivered
"2017-12-17 11:47:53","2017-11-24 17:19:01","2017-12-14 01:00:00",delivered
"2017-09-12 22:59:50","2017-08-31 20:05:09","2017-09-27 02:00:00",delivered
"2018-05-22 22:37:31","2018-05-16 05:14:50","2018-05-30 02:00:00",delivered
"2018-02-06 16:49:01","2018-01-22 20:36:30","2018-02-06 01:00:00",delivered
"2018-06-28 18:41:38","2018-06-16 02:23:09","2018-07-13 02:00:00",delivered
"2018-08-02 01:57:28","2018-07-31 05:50:25","2018-08-02 02:00:00",delivered
"2017-12-12 21:22:51","2017-11-28 22:17:25","2017-12-18 01:00:00",delivered
"2018-03-05 23:04:37","2018-02-11 15:25:28","2018-03-23 01:00:00",delivered
"2018-04-06 03:23:24","2018-03-20 04:48:59","2018-04-16 02:00:00",delivered
"2018-06-05 20:19:32","2018-06-03 14:10:28","2018-06-28 02:00:00",delivered
"2018-05-17 18:56:33","2018-05-08 00:11:35","2018-05-24 02:00:00",delivered
"2018-03-30 01:31:48","2018-03-10 15:50:28","2018-04-05 02:00:00",delivered
"2018-03-22 23:12:59","2018-02-27 17:15:38","2018-04-03 02:00:00",delivered
"2018-02-15 16:08:38","2018-01-24 16:08:06","2018-02-20 01:00:00",delivered
"2018-06-19 13:22:36","2018-06-09 13:15:21","2018-07-04 02:00:00",delivered
"2017-11-16 22:48:37","2017-11-11 23:30:25","2017-11-27 01:00:00",delivered
"2018-07-09 18:02:28","2018-06-28 13:31:07","2018-07-31 02:00:00",delivered
"2018-08-15 02:18:53","2018-08-01 17:31:17","2018-08-27 02:00:00",delivered
"2017-12-19 15:19:22","2017-11-24 21:56:27","2017-12-27 01:00:00",delivered
"2018-02-23 23:59:22","2018-02-03 16:11:02","2018-03-01 01:00:00",delivered
"2017-05-11 19:22:55","2017-04-27 12:35:12","2017-05-25 02:00:00",delivered
"2018-04-23 15:47:49","2018-04-10 18:35:12","2018-05-04 02:00:00",delivered
"2017-12-11 18:38:06","2017-11-13 11:16:29","2017-12-22 01:00:00",delivered
"2018-08-02 02:42:53","2018-07-25 04:55:14","2018-08-14 02:00:00",delivered
"2018-04-05 22:09:27","2018-04-04 05:29:36","2018-04-13 02:00:00",delivered
"2018-01-17 23:08:50","2018-01-12 20:37:22","2018-01-31 01:00:00",delivered
"2017-08-08 17:07:39","2017-07-24 19:30:29","2017-08-11 02:00:00",delivered
"2018-03-16 14:58:58","2018-03-08 01:49:38","2018-03-28 02:00:00",delivered
"2018-06-11 23:38:34","2018-06-05 21:15:24","2018-07-16 02:00:00",delivered
"2018-03-14 17:52:13","2018-02-17 04:35:43","2018-03-20 01:00:00",delivered
"2017-07-10 19:36:56","2017-06-29 02:23:33","2017-07-19 02:00:00",delivered
"2018-02-20 20:27:20","2018-01-20 10:09:35","2018-02-22 01:00:00",delivered
"2018-04-09 21:26:42","2018-03-29 14:48:47","2018-04-17 02:00:00",delivered
"2018-03-29 21:22:10","2018-03-16 21:31:55","2018-04-06 02:00:00",delivered
"2018-03-29 20:28:40","2018-03-28 00:30:13","2018-04-09 02:00:00",delivered
"2018-08-14 02:28:41","2018-08-04 07:05:18","2018-08-23 02:00:00",delivered
"2017-01-27 19:12:13","2017-01-21 18:22:49","2017-03-02 01:00:00",delivered
"2017-10-03 20:35:37","2017-09-26 13:24:44","2017-10-23 02:00:00",delivered
"2017-09-22 18:48:51","2017-09-13 17:25:15","2017-10-04 02:00:00",delivered
"2018-08-25 02:46:26","2018-08-09 22:50:14","2018-09-05 02:00:00",delivered
"2017-12-11 19:52:39","2017-12-07 11:31:35","2018-01-02 01:00:00",delivered
"2018-06-23 00:41:09","2018-05-30 05:24:11","2018-07-18 02:00:00",delivered
"2017-06-29 18:45:36","2017-06-27 13:04:48","2017-07-10 02:00:00",delivered
"2018-01-09 19:04:58","2017-12-12 04:50:30","2018-01-03 01:00:00",delivered
"2018-03-26 23:07:18","2018-03-09 18:00:39","2018-04-03 02:00:00",delivered
"2017-09-19 23:47:09","2017-09-11 14:05:28","2017-10-04 02:00:00",delivered
"2018-06-19 19:57:35","2018-06-12 12:21:08","2018-07-12 02:00:00",delivered
"2018-07-12 00:52:20","2018-07-03 03:30:35","2018-08-08 02:00:00",delivered
"2017-06-12 18:48:13","2017-05-24 17:35:20","2017-06-23 02:00:00",delivered
"2017-12-11 22:44:51","2017-11-29 20:31:02","2017-12-22 01:00:00",delivered
"2018-01-20 15:28:43","2018-01-14 19:59:30","2018-01-30 01:00:00",delivered
"2017-08-29 23:36:55","2017-08-23 19:33:57","2017-09-13 02:00:00",delivered
"2017-09-18 20:48:54","2017-09-12 06:50:37","2017-09-28 02:00:00",delivered
"2018-08-23 23:03:46","2018-08-21 19:08:38","2018-08-27 02:00:00",delivered
"2018-06-12 22:48:48","2018-05-27 20:14:14","2018-07-03 02:00:00",delivered
"2017-06-16 18:52:02","2017-05-23 05:50:25","2017-06-09 02:00:00",delivered
"2017-08-07 22:41:57","2017-07-28 13:35:14","2017-08-17 02:00:00",delivered
"2018-01-04 17:57:16","2017-12-06 03:50:38","2018-01-05 01:00:00",delivered
